"",Prevelance
Bacteroides,1
Faecalibacterium,0.916666666666667
Collinsella,0.833333333333333
Bifidobacterium,0.75
Streptococcus,0.583333333333333
Alistipes,0.5
Prevotella,0.416666666666667
Parasutterella,0.416666666666667
Not_Assigned,0.416666666666667
Coprococcus,0.416666666666667
UCG_002,0.333333333333333
Romboutsia,0.333333333333333
Parabacteroides,0.333333333333333
Odoribacter,0.333333333333333
Dorea,0.333333333333333
Subdoligranulum,0.25
Paraprevotella,0.25
Lachnospira,0.25
Granulicatella,0.25
Fusicatenibacter,0.25
Escherichia_Shigella,0.25
Erysipelotrichaceae_UCG_003,0.25
Catenibacterium,0.25
Agathobacter,0.25
Ruminococcus,0.166666666666667
Monoglobus,0.166666666666667
Haemophilus,0.166666666666667
Blautia,0.166666666666667
